subject,intent
"Looking for job opportunities in your company","Job Inquiry"
"Need assistance with my account password","Support"
"Special offer! Buy one get one free!","Sales"
"Let's catch up for dinner tonight","Personal"
"Win a free iPhone now by clicking this link","Spam"
"Application for software engineering internship","Job Inquiry"
"Requesting refund for last month’s payment","Support"
"Discounts available on our premium plan","Sales"
"Happy birthday Hope you have a great day","Personal"
"Limited-time deal 50% off on all products","Sales"
"Your account has been suspended. Contact support.","Support"
"Following up on job application submission","Job Inquiry"
"Family gathering this weekend at my place","Personal"
"Congratulations! You’ve won a $1000 gift card","Spam"
"Urgent: verify your account to avoid deactivation","Spam"
"Inquiry about open DevOps engineer positions","Job Inquiry"
"Need help with resetting my login credentials","Support"
"Exclusive deal just for you — upgrade now","Sales"
"See you at the reunion next month!","Personal"
"Claim your prize now before it expires","Spam"
